# https://raw.githubusercontent.com/ilpl/ad-hosts/master/hosts

# app ad
# > ximalya
0.0.0.0 ad.ximalaya.com
0.0.0.0 adbs.ximalaya.com
0.0.0.0 adse.ximalaya.com
0.0.0.0 adse.wsa.ximalaya.com
0.0.0.0 adbehavior.wsa.ximalaya.com
0.0.0.0 adsebs.ximalaya.com
# > lrts.me
0.0.0.0 advert.mting.info
0.0.0.0 ulogs.umengcloud.com

# ads-test
0.0.0.0 www.ttyyuuoo.com

# ads-img
0.0.0.0 im.tiodata.com

# ads
0.0.0.0 xn--wxtr9fwyxk9c.art
0.0.0.0 xn--xhq9mt12cf5v.art
0.0.0.0 aecbhedvuibuab.biduo.cc
0.0.0.0 xn--2qux23confgml.club
0.0.0.0 xn--wxtr9fwyxk9c.club
0.0.0.0 8z3j.cn
0.0.0.0 pstarv.cn
0.0.0.0 seordl.cn
0.0.0.0 m.0898xlj.cn
0.0.0.0 ee.0pi84.cn
0.0.0.0 m.0pi84.cn
0.0.0.0 api.1q8h.cn
0.0.0.0 ee.1s8pj.cn
0.0.0.0 m.1s8pj.cn
0.0.0.0 ee.2l7ha.cn
0.0.0.0 m.2l7ha.cn
0.0.0.0 m.4vvvv.cn
0.0.0.0 e.5y67n.cn
0.0.0.0 m.5y67n.cn
0.0.0.0 ee.89kvh.cn
0.0.0.0 m.89kvh.cn
0.0.0.0 eo.8uqk.cn
0.0.0.0 mo.8uqk.cn
0.0.0.0 m.ahinun.cn
0.0.0.0 m.ailiby.cn
0.0.0.0 m.b2bchinese.cn
0.0.0.0 m.bjaoyou.cn
0.0.0.0 m.bogubogu.cn
0.0.0.0 m.boojun.cn
0.0.0.0 e.brtyhn.cn
0.0.0.0 m.brtyhn.cn
0.0.0.0 m.byscy.cn
0.0.0.0 m.cdxtny.cn
0.0.0.0 m.classicgir.cn
0.0.0.0 e.cnxmyb.cn
0.0.0.0 m.cnxmyb.cn
0.0.0.0 m.autobedo.com.cn
0.0.0.0 m.bh100.com.cn
0.0.0.0 m.cndetail.com.cn
0.0.0.0 m.futengbao.com.cn
0.0.0.0 web.happyholidayhotel.com.cn
0.0.0.0 m.hy10010.com.cn
0.0.0.0 m.lengren.com.cn
0.0.0.0 m.lousivency.com.cn
0.0.0.0 e.mysty.com.cn
0.0.0.0 m.mysty.com.cn
0.0.0.0 m.nabeghlavi.com.cn
0.0.0.0 m.sztjdz.com.cn
0.0.0.0 hdc.watchtimes.com.cn
0.0.0.0 m.xieyanmin.com.cn
0.0.0.0 m.xikedianzi.com.cn
0.0.0.0 m.yajuke.com.cn
0.0.0.0 cpro.zol.com.cn
